Video Name,Video URL,Asset Type,Created At
"Perplexity for Professionals","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Perplexity_Intro/fd3b146811bf44e6911e05b25e54ee9c.mp4","video","2026-06-30T06:53:34.142675"
"Perplexity for Mini App Making","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Perplexity_Intro/69d5475015494b59989ea9a445d5f8d2.mp4","video","2026-06-30T06:53:22.629439"
"Perplexity for Marketing","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Perplexity_Intro/140fc4874f154b11bafcec34671e01ad.mp4","video","2026-06-30T06:53:11.573889"
"Perplexity for Job and Career Planning","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Perplexity_Intro/dbabe817066141f3ba2c58ab9f2b805b.mp4","video","2026-06-30T06:53:01.368317"
"Perplexity for Earnings","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Perplexity_Intro/8389c1df7c1d408aa0303610f0797381.mp4","video","2026-06-30T06:52:52.059204"
"Perplexity for Degree and MBA Graduate Productivity","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Perplexity_Intro/d1bac7d627804c9b9b8c5aaaa9e83b62.mp4","video","2026-06-30T06:52:37.136225"
"Perplexity for Business Workflow Automation","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Perplexity_Intro/e9d2890765094361b5ef2275402a5717.mp4","video","2026-06-30T06:52:27.251267"
"NotebookLM for White Collar Executive","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Notebook_LM_Intro/5d714d046e16443daf5b36985c5c797e.mp4","video","2026-06-30T06:57:11.399400"
"notebookLM for Teachers","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Notebook_LM_Intro/5cb6dddf1d3c468c84e5c2a205e5073e.mp4","video","2026-06-30T06:56:55.570798"
"notebookLM for job and career planning","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Notebook_LM_Intro/eef7ce5f576343b49d6a085654d8a9b0.mp4","video","2026-06-30T06:56:46.038514"
"NotebookLM for Degree & MBA Graduate Productivity","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Notebook_LM_Intro/4cda69c4a21b4bc88119d0268cf5225a.mp4","video","2026-06-30T06:56:33.447568"
"NotebookLM for Business workflow automation","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Notebook_LM_Intro/9c15e26a4403457aa79366b53c6fd280.mp4","video","2026-06-30T06:56:18.891624"
"Napkin AI for White Collar","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Napkin_Intro/cd2fac7655704173aa6328735687e33c.mp4","video","2026-06-30T07:03:43.143922"
